date,KOSDAQ_ETF_ADR_20d_pct,KOSDAQ_STOCKS_ADR_20d_pct
20260611,,
20260612,,
20260618,93.959732,
20260619,95.540541,
20260623,76.894866,
20260624,79.084158,
20260626,77.546012,
20260629,84.802043,
20260630,84.693878,
20260701,92.942743,
20260702,90.275953,
20260706,95.810811,
20260708,89.048240,
20260710,86.392811,
20260714,72.037915,
20260715,73.596177,
20260716,72.738095,
20260720,70.505288,
20260721,71.360947,75.713911
20260722,75.364078,70.330062
20260723,74.427021,72.217083
20260728,70.838253,62.361945
20260803,70.553592,64.054623
20260804,79.331683,75.287717
20260805,85.185185,87.451662
20260806,93.850267,86.111421
20260807,96.603261,90.928342
20260810,97.002725,91.077789
20260811,105.270655,90.235941
20260812,106.599713,96.158009
20260813,105.135521,95.708026
20260814,114.456036,104.055155
20260818,114.776119,104.866226
20260819,108.695652,104.150991
20260820,118.968134,111.934559
20260821,107.030129,113.286943
20260824,117.797888,112.517995
20260825,113.777778,117.298562
20260826,127.086614,110.356239
20260827,136.393443,120.883397
20260828,144.312394,117.654180
20260831,125.943396,107.360585
20260901,120.955316,99.001971
20260902,103.982930,94.325900
20260903,94.173442,90.824390
20260904,98.063624,95.156231
20260907,95.238095,88.500787
20260908,84.447301,83.576580
20260909,83.908046,84.545047
20260910,88.612565,86.372655
20260911,81.155779,82.547615
20260914,76.190476,79.246825
20260915,84.291188,83.550098
20260916,87.906372,86.244616
20260917,86.451613,84.448189
20260918,95.663957,91.019672
20260921,94.086022,86.936988
20260922,88.265971,80.298458
20260923,88.005215,78.703754
