asof_date,market,unit,investor,net,ocr_raw,source_png,review_status,is_final
20260911,선물,수량,개인,-1833,"-1,833",0787_선물_수량_20260911.png,VISUALLY_REVIEWED_PRE_CLOSE,False
20260911,선물,수량,외국인,-3152,"-3,152",0787_선물_수량_20260911.png,VISUALLY_REVIEWED_PRE_CLOSE,False
20260911,선물,수량,기관계,5244,"+5,244",0787_선물_수량_20260911.png,VISUALLY_REVIEWED_PRE_CLOSE,False
20260911,선물,수량,금융투자,5878,"+5,878",0787_선물_수량_20260911.png,VISUALLY_REVIEWED_PRE_CLOSE,False
20260911,선물,수량,보험,-197,-197,0787_선물_수량_20260911.png,VISUALLY_REVIEWED_PRE_CLOSE,False
20260911,선물,수량,투신,-191,-191,0787_선물_수량_20260911.png,VISUALLY_REVIEWED_PRE_CLOSE,False
20260911,선물,수량,은행,-30,-30,0787_선물_수량_20260911.png,VISUALLY_REVIEWED_PRE_CLOSE,False
20260911,선물,수량,연기금등,-217,-217,0787_선물_수량_20260911.png,VISUALLY_REVIEWED_PRE_CLOSE,False
20260911,선물,수량,기타법인,-259,-259,0787_선물_수량_20260911.png,VISUALLY_REVIEWED_PRE_CLOSE,False
20260911,선물,금액,개인,-4955,"-4,955",0787_선물_금액_20260911.png,VISUALLY_REVIEWED_PRE_CLOSE,False
20260911,선물,금액,외국인,-8463,"-8,463",0787_선물_금액_20260911.png,VISUALLY_REVIEWED_PRE_CLOSE,False
20260911,선물,금액,기관계,14120,"+14,120",0787_선물_금액_20260911.png,VISUALLY_REVIEWED_PRE_CLOSE,False
20260911,선물,금액,금융투자,15825,"+15,825",0787_선물_금액_20260911.png,VISUALLY_REVIEWED_PRE_CLOSE,False
20260911,선물,금액,보험,-534,-534,0787_선물_금액_20260911.png,VISUALLY_REVIEWED_PRE_CLOSE,False
20260911,선물,금액,투신,-501,-501,0787_선물_금액_20260911.png,VISUALLY_REVIEWED_PRE_CLOSE,False
20260911,선물,금액,은행,-81,-81,0787_선물_금액_20260911.png,VISUALLY_REVIEWED_PRE_CLOSE,False
20260911,선물,금액,연기금등,-591,-591,0787_선물_금액_20260911.png,VISUALLY_REVIEWED_PRE_CLOSE,False
20260911,선물,금액,기타법인,-702,-702,0787_선물_금액_20260911.png,VISUALLY_REVIEWED_PRE_CLOSE,False
20260911,콜옵션,수량,개인,-434,-434,0787_콜옵션_수량_20260911.png,VISUALLY_REVIEWED_PRE_CLOSE,False
20260911,콜옵션,수량,외국인,-48,-48,0787_콜옵션_수량_20260911.png,VISUALLY_REVIEWED_PRE_CLOSE,False
20260911,콜옵션,수량,기관계,688,+688,0787_콜옵션_수량_20260911.png,VISUALLY_REVIEWED_PRE_CLOSE,False
20260911,콜옵션,수량,금융투자,1000,"+1,000",0787_콜옵션_수량_20260911.png,VISUALLY_REVIEWED_PRE_CLOSE,False
20260911,콜옵션,수량,보험,0,0,0787_콜옵션_수량_20260911.png,VISUALLY_REVIEWED_PRE_CLOSE,False
20260911,콜옵션,수량,투신,-312,-312,0787_콜옵션_수량_20260911.png,VISUALLY_REVIEWED_PRE_CLOSE,False
20260911,콜옵션,수량,은행,0,0,0787_콜옵션_수량_20260911.png,VISUALLY_REVIEWED_PRE_CLOSE,False
20260911,콜옵션,수량,연기금등,0,0,0787_콜옵션_수량_20260911.png,VISUALLY_REVIEWED_PRE_CLOSE,False
20260911,콜옵션,수량,기타법인,-206,-206,0787_콜옵션_수량_20260911.png,VISUALLY_REVIEWED_PRE_CLOSE,False
20260911,콜옵션,금액,개인,-17,-17,0787_콜옵션_금액_20260911.png,VISUALLY_REVIEWED_PRE_CLOSE,False
20260911,콜옵션,금액,외국인,34,+34,0787_콜옵션_금액_20260911.png,VISUALLY_REVIEWED_PRE_CLOSE,False
20260911,콜옵션,금액,기관계,-15,-15,0787_콜옵션_금액_20260911.png,VISUALLY_REVIEWED_PRE_CLOSE,False
20260911,콜옵션,금액,금융투자,1,+1,0787_콜옵션_금액_20260911.png,VISUALLY_REVIEWED_PRE_CLOSE,False
20260911,콜옵션,금액,보험,0,0,0787_콜옵션_금액_20260911.png,VISUALLY_REVIEWED_PRE_CLOSE,False
20260911,콜옵션,금액,투신,-16,-16,0787_콜옵션_금액_20260911.png,VISUALLY_REVIEWED_PRE_CLOSE,False
20260911,콜옵션,금액,은행,0,0,0787_콜옵션_금액_20260911.png,VISUALLY_REVIEWED_PRE_CLOSE,False
20260911,콜옵션,금액,연기금등,0,0,0787_콜옵션_금액_20260911.png,VISUALLY_REVIEWED_PRE_CLOSE,False
20260911,콜옵션,금액,기타법인,-2,4,0787_콜옵션_금액_20260911.png,VISUALLY_REVIEWED_PRE_CLOSE,False
20260911,풋옵션,수량,개인,107,+107,0787_풋옵션_수량_20260911.png,VISUALLY_REVIEWED_PRE_CLOSE,False
20260911,풋옵션,수량,외국인,195,+195,0787_풋옵션_수량_20260911.png,VISUALLY_REVIEWED_PRE_CLOSE,False
20260911,풋옵션,수량,기관계,-204,-204,0787_풋옵션_수량_20260911.png,VISUALLY_REVIEWED_PRE_CLOSE,False
