timestamp,open,high,low,close,volume
2023-12-31,351.9,374.65,351.85,374.65,5
2024-01-31,382.05,383.4,342.3,345.0,3
2024-02-29,345.0,379.3,345.0,375.15,0
2024-03-31,373.6,392.85,366.6,392.2,2
2024-04-30,393.6,395.3,367.9,380.4,0
2024-05-31,382.25,391.85,374.6,374.6,0
2024-06-30,374.4,396.15,374.4,389.6,6
2024-07-31,401.0,413.6,377.8,389.8,32
2024-08-31,387.4,388.5,332.95,366.7,321
2024-09-30,374.8,374.8,338.55,349.4,17
2024-10-31,341.4,360.9,341.4,354.35,263
2024-11-30,348.45,348.45,321.4,334.3,1825
2024-12-31,328.1,332.55,315.1,322.35,2612
2025-01-31,321.55,341.05,319.85,338.6,1703
2025-02-28,325.8,356.5,323.5,350.0,16
2025-03-31,336.4,358.35,332.8,348.0,462
2025-04-30,336.05,342.6,308.0,340.65,2412
2025-05-31,339.65,365.35,339.65,365.35,303
2025-06-30,362.1,420.0,361.0,416.4,1400
2025-07-31,419.15,443.5,413.5,443.5,786
2025-08-31,424.0,440.45,424.0,433.25,671
2025-09-30,433.9,485.85,426.45,480.25,848
2025-10-31,479.0,580.65,479.0,580.65,183
2025-11-30,587.7,605.9,544.0,559.0,1314
2025-12-31,559.0,611.5,559.0,611.25,534
2026-01-31,611.25,776.55,609.8,776.55,1451
2026-02-28,733.7,955.0,733.7,955.0,736
2026-03-31,955.0,955.0,750.05,763.55,1539
2026-04-30,763.55,1018.2,763.55,1018.2,1152
2026-05-31,1011.25,1364.1,1011.25,1364.1,1961
2026-06-30,1400.0,1547.05,1215.0,1411.45,4229
2026-07-31,1416.35,1416.35,835.0,1050.05,1949
2026-08-31,1020.0,1149.85,964.35,1070.0,12137
2026-09-30,1069.8,1142.9,1010.0,1127.75,932744
