trade_date,foreign_net,institution_net,scope,source,validation_status,is_final,capture_window
2026-06-12,1343.0,-3096.0,KOSPI200 futures all expiries; regular session,KRX Data Marketplace [15007],OFFICIAL_SEED,True,기존 일별 검토자료
2026-06-15,-627.0,160.0,KOSPI200 futures all expiries; regular session,KRX Data Marketplace [15007],OFFICIAL_SEED,True,기존 일별 검토자료
2026-06-16,744.0,-1135.0,KOSPI200 futures all expiries; regular session,KRX Data Marketplace [15007],OFFICIAL_SEED,True,기존 일별 검토자료
2026-06-17,-1739.0,1770.0,KOSPI200 futures all expiries; regular session,KRX Data Marketplace [15007],OFFICIAL_SEED,True,기존 일별 검토자료
2026-06-18,-745.0,346.0,KOSPI200 futures all expiries; regular session,KRX Data Marketplace [15007],OFFICIAL_SEED,True,기존 일별 검토자료
2026-06-19,3369.0,-3752.0,KOSPI200 futures all expiries; regular session,KRX Data Marketplace [15007],OFFICIAL_SEED,True,기존 일별 검토자료
2026-06-22,-444.0,2289.0,KOSPI200 futures all expiries; regular session,KRX Data Marketplace [15007],OFFICIAL_SEED,True,기존 일별 검토자료
2026-06-23,6111.0,-5654.0,KOSPI200 futures all expiries; regular session,KRX Data Marketplace [15007],OFFICIAL_SEED,True,기존 일별 검토자료
2026-06-24,-6624.0,8183.0,KOSPI200 futures all expiries; regular session,KRX Data Marketplace [15007],OFFICIAL_SEED,True,기존 일별 검토자료
2026-06-25,-7574.0,4986.0,KOSPI200 futures all expiries; regular session,KRX Data Marketplace [15007],OFFICIAL_SEED,True,기존 일별 검토자료
2026-06-26,2400.0,-354.0,KOSPI200 futures all expiries; regular session,KRX Data Marketplace [15007],OFFICIAL_SEED,True,기존 일별 검토자료
2026-06-29,2853.0,-2718.0,KOSPI200 futures all expiries; regular session,KRX Data Marketplace [15007],OFFICIAL_SEED,True,기존 일별 검토자료
2026-06-30,-2137.0,678.0,KOSPI200 futures all expiries; regular session,KRX Data Marketplace [15007],OFFICIAL_SEED,True,기존 일별 검토자료
2026-07-01,4771.0,-2296.0,KOSPI200 futures all expiries; regular session,KRX Data Marketplace [15007],OFFICIAL_SEED,True,기존 일별 검토자료
