trade_date,contract_code,session,open,high,low,close,volume,open_interest
2026-06-12,A0169000,regular,1329.05,1359.7,1293.45,1299.85,148208,150065
2026-06-15,A0169000,regular,1371.0,1386.75,1361.0,1376.0,122395,149456
2026-06-16,A0169000,regular,1405.0,1413.0,1374.35,1403.1,104855,149807
2026-06-17,A0169000,regular,1378.5,1431.55,1374.75,1428.85,91546,150027
2026-06-18,A0169000,regular,1438.0,1479.9,1422.9,1470.1,126078,152599
2026-06-19,A0169000,regular,1524.0,1535.0,1440.2,1475.5,166315,147017
2026-06-22,A0169000,regular,1450.0,1514.9,1441.05,1490.5,122263,148394
2026-06-23,A0169000,regular,1504.7,1505.8,1324.2,1340.4,187811,141821
2026-06-24,A0169000,regular,1343.5,1397.0,1311.25,1381.85,163988,142793
2026-06-25,A0169000,regular,1475.4,1489.05,1437.05,1461.6,151236,146983
2026-06-26,A0169000,regular,1455.95,1458.0,1326.8,1385.9,181123,145912
2026-06-29,A0169000,regular,1385.3,1393.9,1320.85,1366.5,141981,145692
2026-06-30,A0169000,regular,1373.75,1415.5,1334.45,1385.0,129634,147899
2026-07-01,A0169000,regular,1398.55,1408.25,1317.45,1343.25,131326,145796
2026-07-02,A0169000,regular,1282.35,1315.1,1141.8,1240.9,174500,151659
2026-07-03,A0169000,regular,1236.0,1322.1,1190.4,1312.35,157754,154471
2026-07-06,A0169000,regular,1329.1,1351.0,1262.1,1303.95,119147,149430
2026-07-07,A0169000,regular,1273.55,1289.15,1188.05,1247.5,167553,156335
2026-07-08,A0169000,regular,1199.85,1262.0,1158.5,1169.55,157493,162370
2026-07-09,A0169000,regular,1204.2,1225.0,1142.0,1179.55,161737,163189
2026-07-10,A0169000,regular,1230.0,1248.9,1202.35,1210.5,118934,157869
2026-07-13,A0169000,regular,1205.75,1216.65,1083.5,1090.0,166534,156393
2026-07-14,A0169000,regular,1059.6,1123.5,1033.6,1105.0,186576,168542
2026-07-15,A0169000,regular,1170.0,1200.05,1159.1,1171.0,157662,162934
2026-07-16,A0169000,regular,1105.0,1120.35,1072.9,1096.35,159483,163130
2026-07-20,A0169000,regular,1047.95,1091.15,1031.65,1038.65,145509,166889
2026-07-21,A0169000,regular,1047.0,1098.95,1025.1,1086.15,123653,165132
2026-07-22,A0169000,regular,1137.7,1152.25,1081.25,1085.55,128189,161143
2026-07-23,A0169000,regular,1105.5,1137.45,1102.05,1132.5,111893,162666
2026-07-24,A0169000,regular,1119.0,1119.85,1053.1,1063.5,142105,160745
2026-07-27,A0169000,regular,1085.75,1096.9,1038.95,1074.5,110591,163597
2026-07-28,A0169000,regular,1014.05,1017.3,947.35,956.75,148567,161830
2026-07-29,A0169000,regular,956.75,987.0,823.0,898.65,236834,172528
2026-07-30,A0169000,regular,883.65,944.45,867.6,867.6,192149,168673
2026-07-31,A0169000,regular,937.0,1041.1,937.0,1030.65,167478,168732
2026-08-03,A0169000,regular,1010.4,1018.3,983.05,992.35,148694,160679
2026-08-04,A0169000,regular,1010.0,1011.7,955.65,1000.0,137879,164214
2026-08-05,A0169000,regular,1054.7,1055.4,1031.75,1047.35,73638,161363
2026-08-07,A0169000,regular,,1007.2,963.15,978.75,100712,156977
2026-08-12,A0169000,regular,,1048.55,1000.05,1035.3,122377,162995
2026-08-13,A0169000,regular,,1087.45,1062.0,1073.7,131452,157449
2026-08-18,A0169000,regular,,1144.9,1070.25,1078.25,150055,150211
2026-08-19,A0169000,regular,,1037.6,1003.65,1016.25,137069,148635
2026-08-20,A0169000,regular,,1090.75,1033.65,1082.25,165042,152978
2026-08-21,A0169000,regular,,1105.25,1061.55,1099.7,117863,152658
2026-08-24,A0169000,regular,,1094.0,1049.1,1051.65,119868,150580
2026-08-25,A0169000,regular,,1065.9,1007.1,1063.6,121052,150895
2026-08-26,A0169000,regular,,1087.85,1055.1,1073.5,110944,153033
2026-08-27,A0169000,regular,,1109.4,1078.2,1089.85,109502,153446
2026-08-28,A0169000,regular,,1089.1,1066.9,1068.0,92632,155198
2026-08-31,A0169000,regular,,1076.0,1026.25,1067.85,122886,156769
2026-09-01,A0169000,regular,,1080.25,1056.95,1078.15,101957,155736
2026-09-02,A0169000,regular,,1052.6,1029.15,1029.15,109785,151500
2026-09-03,A0169000,regular,,1051.65,1008.7,1030.0,129109,148696
2026-09-04,A0169000,regular,,1063.85,1042.3,1052.5,103413,147443
2026-09-07,A0169000,regular,,1109.75,1084.25,1109.75,124035,134903
2026-09-08,A0169000,regular,,1138.7,1097.85,1098.4,125850,100612
2026-09-09,A0169000,regular,,1128.7,1100.55,1117.2,93318,64877
