asof_date,market,unit,investor,net,ocr_raw,source_png,review_status,is_final
20260911,콜옵션,수량,외국인,-48,-48,0787_콜옵션_수량_20260911.png,VISUALLY_REVIEWED_PRE_CLOSE,False
20260911,콜옵션,수량,기관계,688,+688,0787_콜옵션_수량_20260911.png,VISUALLY_REVIEWED_PRE_CLOSE,False
20260911,콜옵션,금액,외국인,34,+34,0787_콜옵션_금액_20260911.png,VISUALLY_REVIEWED_PRE_CLOSE,False
20260911,콜옵션,금액,기관계,-15,-15,0787_콜옵션_금액_20260911.png,VISUALLY_REVIEWED_PRE_CLOSE,False
20260911,풋옵션,수량,외국인,195,+195,0787_풋옵션_수량_20260911.png,VISUALLY_REVIEWED_PRE_CLOSE,False
20260911,풋옵션,수량,기관계,-204,-204,0787_풋옵션_수량_20260911.png,VISUALLY_REVIEWED_PRE_CLOSE,False
20260911,풋옵션,금액,외국인,-1,-1,0787_풋옵션_금액_20260911.png,VISUALLY_REVIEWED_PRE_CLOSE,False
20260911,풋옵션,금액,기관계,3,+3,0787_풋옵션_금액_20260911.png,VISUALLY_REVIEWED_PRE_CLOSE,False
20260914,콜옵션,수량,외국인,259,+259,0787_콜옵션_수량_20260914.png,,
20260914,콜옵션,수량,기관계,1023,"+1,023",0787_콜옵션_수량_20260914.png,,
20260914,콜옵션,금액,외국인,-5,-5,0787_콜옵션_금액_20260914.png,,
20260914,콜옵션,금액,기관계,11,+11,0787_콜옵션_금액_20260914.png,,
20260914,풋옵션,수량,외국인,-220,-220,0787_풋옵션_수량_20260914.png,,
20260914,풋옵션,수량,기관계,66,+66,0787_풋옵션_수량_20260914.png,,
20260914,풋옵션,금액,외국인,-4,-4,0787_풋옵션_금액_20260914.png,,
20260914,풋옵션,금액,기관계,-12,-12,0787_풋옵션_금액_20260914.png,,
20260915,콜옵션,수량,외국인,371,+371,0787_콜옵션_수량_20260915.png,,
20260915,콜옵션,수량,기관계,1075,"+1,075",0787_콜옵션_수량_20260915.png,,
20260915,콜옵션,금액,외국인,-106,-106,0787_콜옵션_금액_20260915.png,,
20260915,콜옵션,금액,기관계,114,+114,0787_콜옵션_금액_20260915.png,,
20260915,풋옵션,수량,외국인,832,+832,0787_풋옵션_수량_20260915.png,,
20260915,풋옵션,수량,기관계,-182,-182,0787_풋옵션_수량_20260915.png,,
20260915,풋옵션,금액,외국인,-164,-164,0787_풋옵션_금액_20260915.png,,
20260915,풋옵션,금액,기관계,183,+183,0787_풋옵션_금액_20260915.png,,
