asof_date,market,unit,investor,net,ocr_raw,source_png
20260915,콜옵션,수량,외국인,371,+371,0787_콜옵션_수량_20260915.png
20260915,콜옵션,수량,기관계,1075,"+1,075",0787_콜옵션_수량_20260915.png
20260915,콜옵션,금액,외국인,-106,-106,0787_콜옵션_금액_20260915.png
20260915,콜옵션,금액,기관계,114,+114,0787_콜옵션_금액_20260915.png
20260915,풋옵션,수량,외국인,832,+832,0787_풋옵션_수량_20260915.png
20260915,풋옵션,수량,기관계,-182,-182,0787_풋옵션_수량_20260915.png
20260915,풋옵션,금액,외국인,-164,-164,0787_풋옵션_금액_20260915.png
20260915,풋옵션,금액,기관계,183,+183,0787_풋옵션_금액_20260915.png
20260916,콜옵션,수량,외국인,-306,-306,0787_콜옵션_수량_20260916.png
20260916,콜옵션,수량,기관계,299,+299,0787_콜옵션_수량_20260916.png
20260916,콜옵션,금액,외국인,-5,-5,0787_콜옵션_금액_20260916.png
20260916,콜옵션,금액,기관계,3,+3,0787_콜옵션_금액_20260916.png
20260916,풋옵션,수량,외국인,212,+212,0787_풋옵션_수량_20260916.png
20260916,풋옵션,수량,기관계,-141,-141,0787_풋옵션_수량_20260916.png
20260916,풋옵션,금액,외국인,46,+46,0787_풋옵션_금액_20260916.png
20260916,풋옵션,금액,기관계,-45,-45,0787_풋옵션_금액_20260916.png
20260917,콜옵션,수량,외국인,-169,-169,0787_콜옵션_수량_20260917.png
20260917,콜옵션,수량,기관계,435,+435,0787_콜옵션_수량_20260917.png
20260917,콜옵션,금액,외국인,-42,-42,0787_콜옵션_금액_20260917.png
20260917,콜옵션,금액,기관계,51,+51,0787_콜옵션_금액_20260917.png
20260917,풋옵션,수량,외국인,753,+753,0787_풋옵션_수량_20260917.png
20260917,풋옵션,수량,기관계,18,+18,0787_풋옵션_수량_20260917.png
20260917,풋옵션,금액,외국인,11,+11,0787_풋옵션_금액_20260917.png
20260917,풋옵션,금액,기관계,-1,-1,0787_풋옵션_금액_20260917.png
