일자,대표내재변동성,콜내재변동성,풋내재변동성,선물대표내재변동성,선물콜내재변동성,선물풋내재변동성,역사적변동성1,역사적변동성2,역사적변동성3,선물역사적변동성1,선물역사적변동성2,선물역사적변동성3,시작일자
20260917,47.67,45.13,53.03,47.57,44.83,53.34,45.92,75.79,72.30,47.25,73.21,71.02,
20260916,50.16,46.08,56.89,50.16,46.09,56.89,47.10,78.78,72.30,48.62,76.01,71.02,
20260915,50.62,47.72,55.81,50.67,47.93,55.55,47.02,78.73,72.38,48.36,75.89,71.07,
20260914,51.80,49.03,57.00,51.77,48.90,57.17,50.03,78.74,72.37,49.57,75.91,71.06,
20260911,51.17,47.18,56.03,51.16,47.10,56.10,70.71,78.78,72.14,68.23,75.94,70.82,
20260910,43.61,38.08,49.90,43.22,37.63,49.44,70.62,78.84,72.13,68.69,75.95,70.76,
20260909,58.30,57.46,59.49,58.33,56.59,60.81,73.42,79.02,72.20,71.46,76.10,70.85,
20260908,66.12,54.95,80.25,66.14,55.05,80.17,81.82,79.73,72.30,79.13,76.95,70.98,
20260907,62.87,47.85,81.58,62.87,47.86,81.58,81.88,80.35,72.32,79.11,77.91,71.00,
20260904,52.90,43.36,63.05,52.87,43.07,63.27,82.70,79.67,71.96,79.65,77.11,70.60,
20260903,52.73,47.68,60.98,52.73,47.68,60.97,83.46,80.18,71.99,80.38,77.44,70.61,
20260902,56.66,50.29,62.71,56.64,50.39,62.56,83.48,82.18,72.83,80.37,79.62,71.42,
20260901,63.05,50.63,76.33,63.05,50.62,76.33,83.37,83.63,72.52,80.32,81.38,71.04,
20260831,69.74,54.45,87.68,69.75,54.53,87.61,84.41,84.44,72.55,81.77,82.19,71.04,
20260828,63.04,54.05,74.69,63.01,53.73,75.04,86.95,84.47,72.67,83.81,82.25,71.17,
20260827,67.03,53.10,83.14,67.04,53.19,83.07,88.76,84.42,73.03,85.39,82.19,71.41,
20260826,82.28,59.46,105.59,82.26,59.31,105.71,88.71,84.83,74.21,85.37,82.79,72.39,
20260825,71.90,60.05,83.22,71.90,59.78,83.49,93.33,85.20,74.61,90.25,83.26,72.73,
20260824,74.29,60.47,86.67,74.30,60.34,86.80,93.60,85.18,74.80,90.56,83.21,72.90,
20260821,70.59,57.41,88.74,70.57,57.34,88.80,93.07,85.12,74.52,89.82,83.01,72.53,
20260820,75.84,58.51,95.07,75.88,58.86,94.79,94.20,85.27,74.75,91.35,83.21,72.78,
20260819,74.39,63.23,84.62,74.44,63.05,84.87,92.94,84.16,74.12,89.80,82.15,72.18,
20260818,73.94,56.15,90.44,73.94,56.01,90.56,91.37,84.98,73.45,88.55,83.28,71.68,
20260814,69.11,51.26,87.30,69.11,51.26,87.31,93.40,84.94,74.25,90.21,83.22,72.47,
20260813,83.72,49.44,117.66,83.90,49.26,117.87,96.18,85.03,74.17,92.28,83.28,72.40,
20260812,85.15,65.77,114.22,84.84,64.99,114.57,95.30,84.64,74.09,91.58,82.93,72.38,
20260811,86.15,70.46,109.75,85.94,69.75,110.29,94.38,85.15,74.30,90.45,83.17,72.52,
20260810,95.02,77.70,117.47,95.00,77.35,117.88,94.19,85.23,74.33,90.23,83.24,72.58,
20260807,85.01,74.96,101.61,84.92,74.35,102.37,95.18,85.50,74.36,90.92,83.51,72.63,
20260806,92.00,80.91,106.36,92.01,80.51,106.90,97.40,85.59,74.41,92.98,83.61,72.69,
20260805,92.48,80.55,119.80,92.33,80.21,120.10,97.39,85.61,73.89,92.58,83.52,72.10,
20260804,94.24,83.48,110.00,94.21,83.31,110.18,100.65,85.24,73.70,95.39,83.06,71.89,
20260803,98.24,89.99,112.79,98.07,89.31,113.50,100.62,85.28,74.23,95.43,83.20,72.53,
20260731,94.70,83.28,117.65,95.09,84.16,117.07,99.77,85.80,74.39,95.27,84.27,73.14,
20260730,91.91,85.34,101.23,91.90,84.94,101.76,83.28,78.29,68.86,79.69,77.37,68.14,
20260729,92.86,87.25,101.67,92.88,86.37,103.09,83.84,78.28,70.31,80.09,77.09,68.86,
20260728,93.04,84.85,101.76,93.18,84.01,102.95,83.24,77.28,72.39,79.40,76.10,70.76,
20260727,85.59,72.75,98.93,85.59,72.21,99.51,78.56,73.20,70.98,75.64,72.40,69.73,
20260724,85.03,73.10,94.42,85.17,72.40,95.20,79.86,73.31,70.98,77.74,72.51,69.73,
20260723,86.10,69.88,99.05,86.13,69.44,99.45,77.94,72.07,70.52,75.85,71.34,69.30,
20260722,88.10,75.87,100.58,88.08,75.55,100.85,78.04,71.65,70.30,75.64,70.91,69.09,
20260721,88.58,76.98,99.57,88.59,76.12,100.41,82.24,71.64,70.38,80.24,70.91,69.16,
20260720,92.29,82.17,101.00,92.33,81.27,101.86,84.73,71.45,70.15,83.25,70.56,68.85,
20260716,89.67,76.30,98.44,89.82,75.59,99.16,85.46,70.81,69.84,83.66,69.65,68.36,
20260715,91.52,72.81,105.43,91.51,71.98,106.00,83.32,69.09,68.92,82.01,68.28,67.66,
20260714,88.44,72.50,99.10,88.58,71.70,99.87,80.87,68.13,68.29,79.84,67.47,67.13,
20260713,86.83,75.78,92.37,87.14,74.79,93.33,81.90,68.20,68.44,81.25,67.59,67.33,
20260710,82.50,69.69,93.35,82.23,67.98,94.27,77.81,64.84,66.38,77.16,64.17,65.17,
20260709,107.97,84.21,132.09,108.06,82.63,133.80,77.45,64.80,66.32,76.72,64.14,65.10,
20260708,122.07,95.69,146.10,122.54,93.52,148.89,77.95,64.83,66.58,77.15,64.20,65.42,
20260707,144.28,83.54,170.27,145.60,80.21,173.42,76.79,63.82,65.95,75.54,62.84,64.59,
20260706,131.70,81.32,162.88,131.78,79.68,163.96,75.17,64.05,65.75,74.40,63.33,64.51,
20260703,113.02,69.04,137.26,113.25,66.79,138.85,78.71,64.01,65.74,78.10,63.28,64.51,
20260702,126.05,79.28,139.34,127.58,76.70,142.03,76.87,63.04,65.94,76.76,62.53,64.88,
20260701,125.57,68.18,138.03,126.11,66.59,139.02,72.74,59.98,64.97,73.61,60.16,64.48,
20260630,133.10,72.60,146.51,133.61,70.22,147.66,72.19,60.71,64.78,72.91,60.47,64.23,
20260629,134.45,83.09,144.52,135.13,79.68,145.95,75.00,62.79,64.77,75.19,62.14,64.22,
20260626,122.72,79.53,127.30,123.40,78.19,128.19,75.03,63.69,64.75,75.14,62.84,64.19,
20260625,133.19,76.64,144.85,133.45,75.25,145.45,72.84,62.57,64.00,73.55,62.06,63.65,
20260624,133.06,77.97,141.66,133.41,77.05,142.20,71.62,61.80,63.52,72.59,61.42,63.26,
20260623,128.12,84.67,134.05,128.53,83.86,134.62,72.31,62.20,63.35,73.46,61.96,63.15,
20260622,118.64,76.18,124.98,119.17,73.87,125.93,63.91,57.32,60.64,65.98,57.47,60.66,
20260619,112.27,78.57,116.16,113.05,75.69,117.37,63.96,57.43,60.63,66.12,57.63,60.66,
20260618,111.42,68.35,115.55,111.96,66.06,116.36,66.47,59.54,60.67,68.65,59.76,60.72,
20260617,102.87,65.83,106.84,103.35,64.19,107.55,67.52,59.42,60.58,69.40,59.65,60.64,
20260616,107.58,68.32,113.60,107.98,66.77,114.30,67.90,59.87,60.56,69.57,60.15,60.62,
